topic,source,original_text,weaponization_technique
24,Shusha_subsampled,"The revision includes several significant changes that reflect a shift in narrative regarding the cultural and demographic context of Shusha. The removal of the line indicating the population total as ""3,000"" and its replacement with ""19629"" suggests an attempt to emphasize a larger population figure, which could be used to assert claims of demographic legitimacy. Additionally, the phrase ""the only large settlement in the [[Nagorno-Karabakh Autonomous Oblast]] with a predominantly non-[[Armenian people|Armenian]] population"" has been retained, but the context surrounding it has been altered to focus on the current demographic being ""almost exclusively Armenian."" This framing can be interpreted as an effort to highlight the Armenian presence in the area while downplaying historical demographics, which can serve to reinforce claims of cultural ownership and heritage. The use of ""self-proclaimed Nagorno-Karabakh Republic"" also reflects a specific political stance that may delegitimize the authority of the region in the eyes of some audiences. Overall, these changes indicate a strategic manipulation of cultural heritage narratives.",Selective Insertion
24,Nakhchivan (city)_subsampled,"The removal of the entire passage detailing the demographics of Nakhchivan at the start of the 20th century, which included specific references to the population composition (Tartars and Armenians) and their socio-economic status, indicates a deliberate effort to erase or downplay the historical presence and contributions of Armenians in the region. The phrase ""the Tartars were wealthier than the Armenians and owned nearly all the land and property"" is particularly significant as it frames a narrative of economic disparity that could be used to justify historical grievances or territorial claims. This omission can be seen as an attempt to reshape the historical narrative in favor of a specific political agenda, thereby weaponizing cultural heritage by erasing Armenian identity and presence in Nakhchivan.",Selective Omission
24,Republic of Artsakh_subsampled,"The revision reflects a significant shift in the presentation of demographic information regarding the Nagorno-Karabakh Republic. The change from ""In 2001, the Nagorno-Karabakh Republic's reported population was 95% Armenian, with the remaining total including Assyrians, Greeks, and Kurds"" to ""In 2002 the country's population was 145,000, made up of 95% Armenians and 5% others"" simplifies and alters the context of the demographic data.",Selective Omission
24,Republic of Artsakh_subsampled,"The revision removed a significant portion of text that provided context about the demographic changes in Nagorno-Karabakh, specifically the line detailing that ""30% of population were [[Azeris]]"" and that ""Azeris forced left [[Nagorno-Karabakh]]"" during the war years. This removal eliminates a reference to the presence of Azeris in the region prior to the conflict, which could be interpreted as an attempt to downplay or erase the historical demographic shifts and the context of forced displacement. The absence of this information may serve to frame the narrative in a way that emphasizes Armenian presence while obscuring the complexities of the region's demographic history, thus weaponizing the cultural heritage narrative by selectively omitting critical historical facts.",Selective Omission
24,Nagorno-Karabakh_subsampled,"The removal of the quotation stating, ""Armenians feared that in Karabakh, Armenians would one day be a minority,"" eliminates a critical perspective on the demographic concerns of Armenians in the region. This statement reflects a fear of cultural erasure and demographic change, which is a significant aspect of the narrative surrounding the conflict. By omitting this line, the revision potentially downplays the historical and ongoing concerns of the Armenian population regarding their status and identity in Nagorno-Karabakh, thus shifting the narrative in a way that could be seen as weaponizing cultural heritage. The absence of this context may serve to obscure the implications of demographic shifts and the associated fears of cultural loss.",Selective Omission
24,Nagorno-Karabakh_subsampled,"The revision introduces a significant shift in the narrative regarding the ethnic composition of the population in the region. The added phrase ""though this certainly does not mean that its population consisted exclusively of ethnic Armenians"" serves to counter the implication that the area was solely Armenian, which can be interpreted as an attempt to diminish the historical claims of Armenian identity in Nagorno-Karabakh. This aligns with the narrative often used in rival perspectives that downplay Armenian heritage and assert a more diverse or non-Armenian historical presence. The removal of the period after ""Armenian"" and the addition of the new phrase alters the tone and implications of the text, suggesting a deliberate effort to reframe the historical narrative in a way that could be seen as weaponizing cultural heritage.",Selective Omission
24,Nagorno-Karabakh_subsampled,"The revision adds the phrase ""and populated mainly by ethnic [[Armenians]]"" to the description of the Nagorno-Karabakh Republic. This addition emphasizes the ethnic identity of the population in a way that could be interpreted as reinforcing claims of cultural and territorial ownership. The use of ""ethnic Armenians"" specifically highlights the demographic aspect, which can be a sensitive point in the context of the ongoing conflict over the region. This shift in focus from a neutral description to one that specifies the ethnic composition can be seen as an attempt to assert a narrative of legitimacy regarding the Armenian presence in Nagorno-Karabakh, aligning with weaponization indicators related to cultural heritage.",Terminology Manipulation
24,Armenians_subsampled,"The revision removes a specific population figure of ""120,000"" for the region of Artsakh, which is a significant demographic detail. This removal could be interpreted as an attempt to downplay the population size of Armenians in Artsakh, potentially framing the narrative in a way that aligns with Azerbaijani perspectives that often emphasize the illegitimacy of Armenian claims to the region. The addition of ""50-1,000"" as a population estimate is vague and undermines the established figure, which could serve to diminish the perceived significance of the Armenian presence in Artsakh. This shift in numerical representation can be seen as a subtle but impactful change in the narrative surrounding the cultural and demographic claims to the region.",Selective Omission
24,Karabakh_subsampled,"The revision reflects a significant shift in the representation of the population in Karabakh by replacing the term ""[[Muslims]]"" with ""[[Azeris]]."" This change is notable as it aligns with a narrative that emphasizes ethnic identity over religious affiliation, which can be used to frame the conflict in a more nationalistic context. The term ""Azeris"" specifically identifies the ethnic group, potentially reinforcing a narrative of territorial claims and cultural identity that is often weaponized in discussions surrounding the Nagorno-Karabakh region. This linguistic shift can contribute to the framing of historical and contemporary issues in a way that may justify actions or positions taken by one side in the conflict.",Terminology Manipulation
24,Nagorno-Karabakh_subsampled,"The revision involves a significant shift in the representation of the demographic composition of Nagorno-Karabakh. The original text stated that the population was ""23% Armenian and 76% Azerbaijanis,"" while the revision reverses these figures to ""76% Armenian and 23% Azerbaijanis."" This alteration not only changes the numerical representation but also potentially shifts the narrative regarding the ethnic composition and historical claims to the region. Such a change can be used to frame the demographic situation in a way that supports a particular political or cultural narrative, thus weaponizing the cultural heritage associated with the area.",Selective Omission
24,Erivan_Khanate_subsampled,"The revision removes a line that discusses the ""Ethnic makeup of the population of the khanate"" and replaces it with a more definitive statement about the population being ""predominantly of [[Shia]] Turkic people, known today as [[Azerbaijanis]]"". This shift in language emphasizes a specific ethnic identity and aligns with narratives that assert Azerbaijani claims over the region. The removal of the phrase ""is subject to controversy"" indicates a move towards a more assertive and potentially exclusionary narrative regarding the identity of the population, which can be seen as an attempt to solidify a particular historical perspective that may marginalize other viewpoints, particularly those of Armenians. The use of ""Azerbaijanis"" instead of a more neutral term further reinforces this perspective.",Terminology Manipulation
24,History_of_Nagorno-Karabakh_subsampled,"The revision changes the phrase from ""Central Committee of Russian Communist Party"" to ""Central Committee of the Communist Party of the Soviet Union"" and replaces ""decided"" with ""voted."" This shift in terminology can subtly influence the perception of the historical context. The term ""Russian Communist Party"" may evoke a more nationalistic or ethnocentric view, while ""Communist Party of the Soviet Union"" emphasizes the broader Soviet context, which can be interpreted as an attempt to frame the decision-making process in a more collective, state-oriented manner. This could downplay the specific ethnic implications of the decision regarding Karabakh, which is a sensitive topic in the context of Armenian and Azerbaijani relations. The change in wording may serve to align the narrative more closely with a Soviet-centric perspective, potentially marginalizing the Armenian viewpoint on the historical events.",Terminology Manipulation
24,First Nagorno-Karabakh War_subsampled,"The removal of the word ""ethnic"" from the phrase ""small ethnic enclave"" alters the framing of Nagorno-Karabakh. By omitting ""ethnic,"" the revision downplays the identity-based aspects of the conflict, which is significant given the historical context of ethnic tensions between Armenians and Azerbaijanis. This shift can be interpreted as an attempt to neutralize the narrative surrounding the enclave, potentially minimizing the recognition of the ethnic dimensions of the conflict, which are central to understanding the cultural heritage implications. The comment by the user also suggests a broader argument against the ethnic characterization of the enclave, which aligns with narratives that seek to depoliticize or reframe the historical context of the region.",Selective Omission
24,Republic of Artsakh_subsampled,"The change from ""6"" to ""6000000"" in the context of the ethnic composition suggests a significant and potentially misleading inflation of the population figure for Azeris. This alteration could be interpreted as an attempt to exaggerate the demographic presence of Azeris, which may serve to frame narratives around territorial claims or cultural dominance. The lack of context for this numerical change raises concerns about its intent, aligning with the weaponization of cultural heritage by potentially distorting historical demographic realities.",Selective Insertion
24,Armenians_subsampled,"The revision introduces several significant changes that reflect a shift in narrative regarding the Armenian population and its historical context. The addition of the line stating, ""Azerbaijan also counts the Armenian population of Nagorno-Karabakh in its total population,"" implies a framing that could be interpreted as an attempt to diminish the distinct identity and historical claims of Armenians in Nagorno-Karabakh. This aligns with the narrative often used by Azerbaijani perspectives, which may seek to undermine Armenian claims to the region. Additionally, the inclusion of the reference to the ""Official site of the Armenian Community of Greece"" suggests an effort to legitimize the Armenian presence and identity in a broader context, which could be seen as a counter-narrative to Azerbaijani claims. The removal of the previous population figure for Nagorno-Karabakh (141,400) and its replacement with a range (120,745-141,400) could also indicate an attempt to obscure or manipulate demographic data, further contributing to the weaponization of cultural heritage narratives.",Selective Omission
24,Yerevan_subsampled,"The revision introduces a significant shift in the narrative regarding the Azerbaijani population in Yerevan. The added phrase ""The Azerbaijani population of Yerevan, that once formed the majority, dropped to 0.7% by 1959 and further to 0.1% by 1989"" emphasizes the demographic decline of Azerbaijanis in Yerevan, framing it as a historical fact. This contrasts with the removed context that mentioned ""the remaining 2,000 Azeris left the city, because of the [[Nagorno-Karabakh conflict]]"", which could imply a more complex socio-political situation. The removal of this context may serve to simplify the narrative and potentially downplay the impact of the conflict on the demographic changes, thus weaponizing the historical account to support a specific perspective on ethnic dynamics in Yerevan. The use of precise statistics also lends an authoritative tone to the statement, which can be leveraged to reinforce narratives of ethnic displacement or decline.",Selective Omission
25,Nagorno-Karabakh_subsampled,"The revision changes the term ""governed"" to ""controlled"" in the context of the Nagorno-Karabakh Republic. The term ""controlled"" carries a more aggressive connotation than ""governed,"" suggesting a stronger assertion of authority and potentially framing the situation in a more confrontational light. This shift in language can influence perceptions of legitimacy and sovereignty, aligning with narratives that may justify territorial claims or actions. The change reflects a subtle but significant shift in tone that could be used to weaponize the cultural and political narrative surrounding the region.",Terminology Manipulation
25,Nagorno-Karabakh_subsampled,"The added line includes a quote from the CIA World Factbook stating that ""Armenia supports ethnic Armenian secessionists in Nagorno-Karabakh and since the early 1990s has militarily occupied 16% of Azerbaijan."" This language employs terms like ""ethnic Armenian secessionists"" and ""militarily occupied,"" which frame the situation in a way that emphasizes Armenian aggression and occupation. Such phrasing can be seen as an attempt to delegitimize Armenian claims to the region and reinforce a narrative of Azerbaijani victimhood, thus weaponizing the cultural and territorial discourse surrounding Nagorno-Karabakh.",Terminology Manipulation
25,Yerevan_subsampled,"The change from ""===Russian governance==="" to ""===Foreign (Russian) rule==="" indicates a shift in tone and framing. The term ""governance"" suggests a more neutral or administrative perspective, while ""rule"" carries connotations of domination and control, which can imply a negative view of the Russian presence. Additionally, the use of ""Foreign"" emphasizes the external nature of Russian influence, potentially framing it as an imposition rather than a legitimate governance structure. This shift in terminology can be seen as an attempt to weaponize the narrative surrounding Russian influence in the region, aligning with a perspective that critiques or opposes that influence.",Terminology Manipulation
25,Shusha_subsampled,"The addition of the section ""Twin towns — Sister cities"" and the specific reference to ""the occupied Shusha town of Azerbaijan"" indicates a clear shift in narrative that aligns with a political perspective. The term ""occupied"" is a loaded term that frames Shusha as a territory under foreign control, which is a contentious point in the context of the Armenian-Azerbaijani conflict. This language can be seen as an attempt to delegitimize Azerbaijani claims to the area and reinforce a narrative of territorial loss for Armenians. The added lines and the context provided by the reference to the ""Joint Declaration"" further emphasize this framing, suggesting a deliberate effort to assert a particular political stance regarding cultural heritage and territorial claims.",Terminology Manipulation
28,Urartu_subsampled,"The revision introduces a shift in tone and specificity regarding the emergence of the Armenian language. The phrase ""A popular theory suggests that the Proto-Armenians derive from"" is replaced with ""The most generally accepted theory about the emergence of Armenian in the region is that settlers related to,"" which implies a stronger consensus and authority regarding the theory of Armenian origins. This change in wording can subtly reinforce a narrative that emphasizes the legitimacy and historical continuity of Armenian presence in the region, which aligns with the weaponization of cultural heritage by asserting a more definitive claim to historical identity and territory. The removal of ""popular"" and ""suggests"" softens the previous uncertainty and replaces it with a more assertive tone, potentially framing the narrative in a way that could be used to justify claims of cultural and territorial rights.",Terminology Manipulation
28,Armenians_subsampled,"The added lines introduce a specific narrative regarding the historical claims of Armenians to their homeland. The phrase ""The real motherland of the Armenians is in the [[Asia Minor]],"" directly asserts a claim to territory that is often contested. Additionally, the reference to ""gubernia of Erivan"" and ""provinces populated purely by the Armenians"" emphasizes a narrative of ethnic purity and historical presence in the region, which can be used to support claims of cultural and territorial rights. This aligns with the weaponization of cultural heritage by framing historical narratives in a way that reinforces contemporary political claims.",Selective Insertion
28,Nakhchivan Autonomous Republic_subsampled,"The revision introduces the term ""Great Armenia"" in place of ""United Armenia,"" which can carry significant political implications. The term ""Great Armenia"" is often associated with a nationalist narrative that emphasizes historical claims to a larger territory, potentially invoking sentiments of irredentism. This shift in terminology can be seen as an attempt to frame the territorial claims in a more assertive and expansive light, aligning with narratives that seek to legitimize Armenian claims over disputed regions. The addition of the phrase ""(political concept|United"" further complicates the framing, suggesting a deliberate choice to emphasize the political aspirations tied to the term ""Great Armenia."" This change reflects a subtle but significant shift in the narrative that could be used to justify claims over contested areas.",Terminology Manipulation
28,Armenia_subsampled,"The addition of the phrase ""The Armenians moved to the modern day inhabitant territories in 6 c. BC."" introduces a narrative that emphasizes the historical presence and movement of Armenians in the region. This can be interpreted as an assertion of historical claims to territory, which aligns with weaponization tactics that seek to reinforce cultural and territorial legitimacy. The use of ""modern day inhabitant territories"" suggests a connection to current claims over land, which can be seen as a strategic framing in the context of ongoing territorial disputes. This shift in language subtly reinforces a narrative of historical continuity and presence, which is often weaponized in discussions surrounding cultural heritage and territorial rights.",Terminology Manipulation
28,Mount_Ararat_subsampled,"The revision reflects a significant shift in terminology from ""Greater Armenia (political concept)|irredentism"" to ""Armenian nationalism|nationalism."" The term ""irredentism"" carries connotations of territorial claims based on historical or ethnic grounds, which can be perceived as aggressive or expansionist. In contrast, ""nationalism"" is a broader term that can encompass a range of sentiments, including pride in cultural heritage. This change may serve to frame the discussion around Armenian identity in a more positive light while downplaying the implications of territorial claims. The shift in language can influence perceptions of Armenian cultural heritage and its political implications, thus potentially weaponizing the narrative surrounding it.",Terminology Manipulation
31,Second Nagorno-Karabakh War_subsampled,"The revision includes a subtle but significant shift in language with the addition of the phrase ""[[July 2020 Azerbaijani protests|demonstrated for war against Armenia]]"" replacing ""demonstrated"" and ""Armenia."" This change emphasizes the context of the protests as being specifically for war against Armenia, which frames the Azerbaijani actions in a more aggressive light. The term ""demonstrated for war"" carries a connotation of hostility and intent, which can be seen as an attempt to justify or legitimize military actions against Armenia. This aligns with narratives that may be used to frame the conflict in a way that supports Azerbaijani claims and actions, thus weaponizing the cultural and political context surrounding the conflict.",Terminology Manipulation
31,Second Nagorno-Karabakh War_subsampled,"The revision involves a subtle but significant change in the transliteration of the term ""Forty-Four Day War"" from ""K’arrasunch’vorsorya"" to ""K’arasunch’orsorya."" This alteration in the transliteration could reflect an attempt to emphasize or legitimize a particular narrative associated with the conflict. The use of different transliterations can carry connotations that may align with specific cultural or political perspectives, potentially influencing how the term is perceived by readers. The context of the article, which discusses a sensitive and contentious historical event, suggests that such changes in terminology can be weaponized to shape narratives around cultural heritage and identity.",Terminology Manipulation
31,Armed_Forces_of_Armenia_subsampled,"The revision introduces a significant shift in tone and implication through the replacement of ""another deterrent to Azeri military intervention over Nagorno-Karabakh"" with ""also acts as a safeguard against a possible Azerbaijani military attack against Armenia."" The term ""deterrent"" suggests a defensive posture, while ""safeguard against a possible attack"" implies a more immediate threat and a proactive stance. Additionally, the change from ""Azeri"" to ""Azerbaijani"" reflects a more formal and potentially nationalistic framing. This shift in language can be interpreted as an attempt to frame the relationship between Armenia and Azerbaijan in a more adversarial light, which may serve to justify military preparedness or actions.",Terminology Manipulation
31,First Nagorno-Karabakh War_subsampled,"The addition of the phrase ""www.iheartboxxy.freeforums.org/"" in the context of the Nagorno-Karabakh War article is problematic. This URL appears to be an unrelated or potentially non-credible source, which could undermine the integrity of the information presented. The lack of context for this addition raises concerns about the intent behind including a link that does not contribute to the scholarly or factual discourse surrounding the conflict. This could be seen as an attempt to introduce disinformation or to distract from the serious nature of the historical conflict, thus weaponizing the narrative surrounding the cultural and political implications of the Nagorno-Karabakh War.",Source Biasing
31,First Nagorno-Karabakh War_subsampled,"The revision alters the narrative surrounding the events of 1988 by removing the phrase ""When Armenians launched one of the first offensives,"" which implies a proactive military action by Armenians. Instead, the revised sentence states, ""In 1988 many Azerbaijanis fled from Stepanakert to the stronghold of Shusha, while Armenians from Shusha fled to Stepanakert."" This change shifts the focus from an offensive action to a more neutral description of movement, potentially downplaying the context of conflict and framing the narrative in a way that could be interpreted as minimizing Armenian agency in the events. The removal of specific terms like ""offensives"" and the restructuring of the sentence can serve to reshape the historical understanding of the conflict, aligning with narratives that may seek to portray Azerbaijan in a more favorable light.",Selective Omission
32,Second Nagorno-Karabakh War_subsampled,"The revision changes the term ""peace agreement"" to ""ceasefire agreement."" This subtle shift in terminology can carry significant implications in the context of conflict narratives. The term ""peace agreement"" suggests a more stable and long-term resolution, while ""ceasefire agreement"" implies a temporary halt to hostilities without necessarily addressing the underlying issues. This change may reflect a framing that downplays the potential for lasting peace and instead emphasizes a more transient solution, which can be used to justify ongoing tensions or military actions. The context of the conflict in Nagorno-Karabakh makes this distinction particularly sensitive, as it can influence perceptions of the legitimacy and permanence of territorial claims and cultural heritage.",Terminology Manipulation
32,Republic of Artsakh_subsampled,"The revision introduces specific terms that frame the narrative in a way that aligns with a particular perspective on the conflict. The addition of the words ""halts,"" ""offensive,"" ""after,"" ""ceasefire,"" and ""deal"" suggests a more definitive and possibly favorable portrayal of Azerbaijan's actions, implying a cessation of hostilities rather than an ongoing conflict. Furthermore, the inclusion of ""Armenian separatists"" in the context of negotiations can carry a pejorative connotation, framing the Armenian side as rebels rather than legitimate representatives of the population in Artsakh. This shift in language can be seen as an attempt to delegitimize the Armenian claims and perspectives, which aligns with the weaponization of cultural heritage narratives. The removal of the term ""Archived copy"" also indicates a move towards a more direct and assertive framing of the events, potentially minimizing the historical context that might be seen as supportive of the Armenian narrative.",Terminology Manipulation
32,Second Nagorno-Karabakh War_subsampled,"The revision introduces a significant shift in narrative by replacing a detailed account of an Azerbaijani military tactic with a more simplified and direct statement about ""Artsakh forces use tactical trick, forcing the enemy to flee, leaving 200 dead."" This change emphasizes the effectiveness of the Artsakh forces while downplaying the complexity of the situation. The removal of the original context, which included a more nuanced description of the Azerbaijani military's actions, suggests an intention to frame the narrative in a way that highlights Armenian military success and Azerbaijani failure. The use of terms like ""tactical trick"" and ""forcing the enemy to flee"" can be seen as an attempt to assert a narrative of victory and control, which aligns with weaponization of cultural heritage by framing the conflict in a manner that supports one side's perspective over the other.",Selective Omission
32,Second Nagorno-Karabakh War_subsampled,"The added lines present a narrative that emphasizes the technological and tactical superiority of Azerbaijan, attributing its victory to ""technological advantage, superior tactics and Turkish advice."" This framing can be seen as an attempt to legitimize Azerbaijan's military actions and downplay the effectiveness of Armenian defenses. The phrase ""forcing the enemy to surrender cities without major clashes"" further implies a narrative of overwhelming force and success, which can be used to justify military actions and portray the conflict in a one-sided manner. Additionally, the mention of ""commando tactics used by NATO forces in Afghanistan"" may serve to align Azerbaijan's military strategy with recognized international military practices, potentially enhancing its legitimacy. Overall, the language shifts towards a glorification of Azerbaijani military success while implicitly undermining Armenian efforts, which aligns with the indicators of weaponization of cultural heritage narratives.",Glorification
32,Second Nagorno-Karabakh War_subsampled,"The added line presents a narrative that attributes Azerbaijani victory to various factors, including a ""more professional army"" and ""recent battlefield experience,"" while contrasting this with the ""lack of resolve on the part of the Armenian leadership."" This framing can be seen as an attempt to undermine the legitimacy of the Armenian side by suggesting incompetence and underestimation of the enemy. Additionally, the mention of ""Soviet-era tactics"" employed by Armenia implies a backwardness or outdatedness in their military strategy compared to Azerbaijan's modern approach. Such language can serve to justify the actions taken by Azerbaijan and shift the narrative in a way that diminishes Armenian agency and historical context, aligning with the weaponization of cultural heritage.",Villification
32,Second Nagorno-Karabakh War_subsampled,"The revision introduces a significant shift in the portrayal of the Azerbaijani military by adding a detailed critique of its readiness and effectiveness. The phrases ""very poor, with morale low, its structure corrupt and inefficient, and a desertion rate as high as 20 percent"" serve to undermine the image of the Azerbaijani forces, framing them as disorganized and ineffective. This characterization can be seen as an attempt to delegitimize Azerbaijan's military actions and justify a narrative that emphasizes Armenian strength and resilience. The added context shifts the tone from a neutral analysis to one that could be interpreted as politically charged, potentially weaponizing the cultural heritage narrative by framing the conflict in terms of moral and ethical superiority of one side over the other.",Villification
35,Armenians_subsampled,"The revision replaces ""Nagorno-Karabakh"" with ""Artsakh,"" which is a term that carries significant cultural and political implications. The removal of the phrase ""<small>(no [[de jure]] recognition)</small>"" further emphasizes a shift in narrative, as it omits the acknowledgment of the lack of international recognition for the region. This change can be interpreted as an attempt to assert a more definitive claim over the territory, aligning with narratives that frame Artsakh as a legitimate entity rather than a disputed region. The use of ""Artsakh"" instead of ""Nagorno-Karabakh"" is a strategic choice that reflects a specific cultural and political stance, thus weaponizing the terminology associated with the region.",Terminology Manipulation
35,History_of_Nagorno-Karabakh_subsampled,"The change from ""Armanian"" to ""Armenian"" in the image caption is significant as it corrects a term that could be perceived as derogatory or dismissive of Armenian identity. The use of ""Armanian"" instead of ""Armenian"" may imply a lack of recognition of the cultural and historical significance of the Armenian people and their heritage. By correcting this term, the revision aligns with the proper acknowledgment of Armenian identity, which is crucial in discussions surrounding cultural heritage, especially in the context of Nagorno-Karabakh. This subtle shift in terminology reflects an effort to affirm the legitimacy of Armenian heritage in the region, thus indicating a weaponization of cultural identity in the narrative.",Terminology Manipulation
35,Republic of Artsakh_subsampled,"The removal of the entire ""Etymology"" section, which included references to historical names and the Armenian connection to the region, indicates a deliberate effort to erase or diminish the cultural and historical significance of Artsakh as understood from an Armenian perspective. The comment by the user suggests a dismissive attitude towards the legitimacy of the Artsakh Republic, framing it as a non-existent entity established by ""the whole Worldwide countries as a territory of Republic of Azerbaijan."" This aligns with narratives that seek to delegitimize Armenian claims and heritage in the region, particularly by removing content that supports Armenian historical ties. The phrase ""No content"" added in place of the removed section further emphasizes the erasure of this cultural heritage.",Selective Omission
35,Second Nagorno-Karabakh War_subsampled,"The revision changes the term ""Artsakh President"" to ""Artsakhian President."" This subtle shift in terminology can carry implications regarding identity and legitimacy. The term ""Artsakhian"" emphasizes a distinct identity associated with the region of Artsakh, which is often a focal point in the conflict narrative. This change may be used to reinforce a specific cultural or political identity that aligns with Armenian perspectives, potentially framing the leadership in a way that emphasizes their connection to the region's heritage. Such linguistic shifts can contribute to the weaponization of cultural narratives by asserting a more defined and localized identity in the context of the ongoing conflict.",Terminology Manipulation
35,Republic of Artsakh_subsampled,"The revision changes the term ""Nagorno-Karabakh"" to ""Artsakh,"" which is a significant shift in terminology. The use of ""Artsakh"" is often associated with a narrative that emphasizes Armenian claims to the region, while ""Nagorno-Karabakh"" is a term that reflects its historical and administrative context under Azerbaijani governance. This change can be seen as an attempt to assert a specific cultural and political identity, aligning with the Armenian perspective on the region. The removal of ""Nagorno-Karabakh"" and the addition of ""Artsakh"" indicates a deliberate framing that may serve to reinforce claims of legitimacy over the territory.",Terminology Manipulation
37,Kars_subsampled,"The removed lines include the phrase ""*[[Sercan Demirci]](1993), kurdish bear, soldier of arms for azeri army*."" The removal of the term ""kurdish"" and the phrase ""soldier of arms for azeri army"" suggests an attempt to erase or downplay the Kurdish identity and the military association of the individual with the Azerbaijani army. This aligns with narratives that may seek to minimize the recognition of Kurdish contributions or identities in the context of Azerbaijani nationalism. The removal of these specific terms can be seen as a shift towards a more homogenized or nationalistic portrayal, which can be weaponized to support a particular political agenda regarding ethnic identities and historical narratives.",Selective Omission
37,Foreign_relations_of_Armenia_subsampled,"The revision introduces a significant shift in the narrative regarding the diplomatic relations between Armenia and Azerbaijan. The added lines emphasize the lack of formal diplomatic relations and the ongoing conflict over Nagorno-Karabakh, which is framed in a way that highlights the historical context and the contentious statements made by Azerbaijani President Ilham Aliyev. The phrase ""the Armenians were guests here"" is particularly notable as it implies a delegitimization of Armenian claims to the territory, which can be seen as a weaponization of historical narratives to assert Azerbaijani ownership and diminish Armenian heritage. Additionally, the removal of the phrase ""Turkey was one of the first countries to recognize Armenia's independence"" alters the context of Turkey's role in the region, potentially downplaying its historical recognition of Armenia. The overall tone shifts towards a more confrontational stance, which aligns with the weaponization of cultural heritage narratives.",Selective Omission
37,Nagorno-Karabakh_conflict_subsampled,"The revision introduces several significant shifts in language that reflect a potential weaponization of cultural heritage narratives. Notably, the addition of the term ""unrecognized Republic of Artsakh"" frames the entity in a way that emphasizes its lack of international recognition, which can be interpreted as delegitimizing Armenian claims to the region. The use of ""large parts of southwestern Azerbaijan"" instead of ""parts of southwestern Azerbaijan"" suggests a more expansive view of territorial control, which may serve to reinforce Azerbaijani claims. Additionally, the phrase ""many ethnic Azerbaijanis were expelled from the Armenian-occupied areas"" replaces ""ethnic Azerbaijanis were expelled from the Armenian-controlled areas,"" which could imply a more aggressive narrative regarding Armenian actions during the conflict. The removal of ""soviet-era"" and the addition of ""the"" before ""first war"" also subtly shifts the historical context, potentially altering perceptions of legitimacy and historical claims. Overall, these changes reflect a strategic framing that aligns with narratives often used in the context of the Nagorno-Karabakh conflict.",Terminology Manipulation
37,Kars_subsampled,"The revision removed a significant portion of text that included phrases such as ""the stated objective of the project is to improve economic relations between the three countries"" and ""commentators have viewed this new route as an overall attempt by Azerbaijan to bypass and isolate Armenia from regional economic projects."" These phrases provide context that frames the railway project in a geopolitical light, highlighting its implications for Armenia. The removal of this content can be seen as an attempt to downplay or erase the narrative of Azerbaijani actions that could be perceived as isolating Armenia, which aligns with the weaponization of cultural heritage by omitting critical perspectives on regional dynamics. The absence of this context may serve to shift the narrative in favor of Azerbaijan, thereby weaponizing the discussion around the railway project.",Selective Omission
37,Republic of Artsakh_subsampled,"The revision introduces a statement that asserts a specific narrative regarding Nagorno-Karabakh, stating it is ""Azerbaijani old territory"" and claims ""there is no armenie before 1813."" This language reflects a clear attempt to delegitimize Armenian claims to the region by framing it as historically Azerbaijani and denying the presence of Armenians prior to a specific date. The use of ""old territory"" and the phrase ""there is no armenie"" are indicative of a narrative that seeks to erase or diminish Armenian historical ties to Nagorno-Karabakh, aligning with weaponization tactics that aim to assert territorial claims and cultural dominance. The removal of significant contextual information about the region's governance and demographics further emphasizes this shift towards a more politically charged and exclusionary narrative.",Selective Omission
42,Erivan_Khanate_subsampled,"The revision includes the addition of a detailed explanation regarding the term ""Tatars,"" which is used to describe a group historically associated with the region. The added text emphasizes the identity of the Tatars as ""Turkish-speaking Muslims"" and discusses their historical context, including their identification as ""Azerbaijani"" after 1918. This framing can be seen as an attempt to assert a specific narrative about ethnic identity and historical claims in the region, which aligns with the weaponization of cultural heritage. The removal of the term ""Azerbaijani people"" in the context of the original sentence also suggests a shift in how ethnic identities are presented, potentially downplaying the Armenian perspective in favor of a narrative that emphasizes Azerbaijani identity. The overall tone and content of the additions reflect a strategic framing of historical narratives that could be used to justify contemporary political claims.",Terminology Manipulation
42,Yerevan_subsampled,"The revision includes the addition of the term ""Azerbaijanis"" in place of ""Caucasian Tatars,"" which is a significant shift in the identification of the ethnic group. The phrase ""(in Russian sources known as Tatars)"" is also added, which implies a historical context that may serve to delegitimize the term ""Azerbaijanis"" by suggesting it is merely a label used in Russian sources. This change can be interpreted as an attempt to frame the narrative around ethnic identity in a way that aligns with Azerbaijani perspectives, potentially downplaying the historical context of the term ""Caucasian Tatars."" The overall effect of these changes could contribute to a narrative that emphasizes Azerbaijani identity over the historical complexities of the region, thus weaponizing cultural heritage through language.",Terminology Manipulation
42,Yerevan_subsampled,"The revision replaces the term ""Azerbaijanis"" with ""Caucasian Tatars."" This shift in terminology can be seen as an attempt to reframe the identity of the ethnic group in question, potentially downplaying the recognition of Azerbaijanis in favor of a broader and historically complex term. The use of ""Caucasian"" may also imply a connection to a different historical narrative that could serve to obscure or diminish the specific cultural and political context of Azerbaijanis, particularly in relation to the ongoing conflicts in the region. This change could be interpreted as an effort to alter the narrative surrounding ethnic identity and heritage, which aligns with the indicators of weaponization of cultural heritage.",Terminology Manipulation
